epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,362.36,0.88465,1.96925,1.25271,0.7527,0.51471,0.65577,0.46705,1.70503,1.64315,1.39239,2.82082e-05,2.82082e-05,2.82082e-05
40,372.232,0.72282,1.07233,1.07738,0.7527,0.51471,0.65577,0.46705,1.70503,1.64315,1.39239,2.84911e-05,2.84911e-05,2.84911e-05
41,382.183,1.11826,1.95947,1.48568,0.61713,0.56841,0.62823,0.40692,1.6923,1.68309,1.385,2.87504e-05,2.87504e-05,2.87504e-05
42,392.131,0.864,1.16427,1.24474,0.61713,0.56841,0.62823,0.40692,1.6923,1.68309,1.385,2.89861e-05,2.89861e-05,2.89861e-05
43,402.135,0.70319,0.84295,1.04359,0.60826,0.54417,0.62431,0.39497,1.70755,1.73059,1.39827,2.91983e-05,2.91983e-05,2.91983e-05
44,412.277,0.83578,1.10653,1.21269,0.60826,0.54417,0.62431,0.39497,1.70755,1.73059,1.39827,2.93869e-05,2.93869e-05,2.93869e-05
45,422.304,0.63806,0.97458,1.1631,0.76832,0.5,0.56102,0.34454,1.70791,1.78231,1.40057,2.9552e-05,2.9552e-05,2.9552e-05
46,432.147,0.70451,0.92359,1.02876,0.76832,0.5,0.56102,0.34454,1.70791,1.78231,1.40057,2.96935e-05,2.96935e-05,2.96935e-05
47,442.234,0.76008,0.94112,1.06283,0.77467,0.5,0.52564,0.31382,1.72012,1.85101,1.41101,2.98114e-05,2.98114e-05,2.98114e-05
48,452.276,0.71971,0.84013,1.15254,0.77467,0.5,0.52564,0.31382,1.72012,1.85101,1.41101,2.99058e-05,2.99058e-05,2.99058e-05
49,462.358,1.00447,1.20902,1.40865,0.78736,0.49981,0.52352,0.3098,1.73621,1.88241,1.41825,2.99766e-05,2.99766e-05,2.99766e-05
50,472.299,0.95254,1.59795,1.36266,0.78736,0.49981,0.52352,0.3098,1.73621,1.88241,1.41825,3.00238e-05,3.00238e-05,3.00238e-05
51,482.302,0.68408,0.88254,1.11923,0.79459,0.49854,0.52208,0.3072,1.74265,1.91347,1.43381,3.00475e-05,3.00475e-05,3.00475e-05
52,492.468,0.86064,1.77603,1.41905,0.79459,0.49854,0.52208,0.3072,1.74265,1.91347,1.43381,3.00476e-05,3.00476e-05,3.00476e-05
53,502.495,0.86283,0.80073,1.27625,0.79459,0.49854,0.52208,0.3072,1.74265,1.91347,1.43381,3.00242e-05,3.00242e-05,3.00242e-05
54,512.535,0.85185,0.90337,1.19155,0.80878,0.49772,0.53454,0.30028,1.71903,1.96484,1.43078,2.99772e-05,2.99772e-05,2.99772e-05
55,522.53,0.79182,0.73458,1.1925,0.80878,0.49772,0.53454,0.30028,1.71903,1.96484,1.43078,2.99066e-05,2.99066e-05,2.99066e-05
56,532.541,0.87791,1.07009,1.31102,0.80878,0.49772,0.53454,0.30028,1.71903,1.96484,1.43078,2.98125e-05,2.98125e-05,2.98125e-05
57,542.679,0.69869,0.8164,1.11799,0.81944,0.49772,0.53824,0.31051,1.73187,1.99054,1.44068,2.96948e-05,2.96948e-05,2.96948e-05
58,552.651,0.69898,0.8936,1.09743,0.81944,0.49772,0.53824,0.31051,1.73187,1.99054,1.44068,2.95535e-05,2.95535e-05,2.95535e-05
59,562.705,0.64058,0.79566,1.07786,0.81944,0.49772,0.53824,0.31051,1.73187,1.99054,1.44068,2.93887e-05,2.93887e-05,2.93887e-05
60,572.894,0.48873,0.82914,0.94708,0.82463,0.49797,0.52492,0.30383,1.73292,1.99028,1.43403,2.92003e-05,2.92003e-05,2.92003e-05
61,582.903,0.76542,0.81603,1.25129,0.82463,0.49797,0.52492,0.30383,1.73292,1.99028,1.43403,2.89884e-05,2.89884e-05,2.89884e-05
62,593.16,0.87421,0.97432,1.29376,0.82463,0.49797,0.52492,0.30383,1.73292,1.99028,1.43403,2.87529e-05,2.87529e-05,2.87529e-05
63,603.342,0.89328,0.72083,1.39496,0.82364,0.41374,0.53092,0.28789,1.75827,2.06852,1.44589,2.84938e-05,2.84938e-05,2.84938e-05
64,613.442,0.71743,1.02504,1.12695,0.82364,0.41374,0.53092,0.28789,1.75827,2.06852,1.44589,2.82112e-05,2.82112e-05,2.82112e-05
65,623.537,0.58459,0.69336,1.08608,0.82364,0.41374,0.53092,0.28789,1.75827,2.06852,1.44589,2.7905e-05,2.7905e-05,2.7905e-05
66,633.778,0.96692,1.23583,1.23841,0.82855,0.41335,0.53097,0.28678,1.77921,2.10319,1.46179,2.75753e-05,2.75753e-05,2.75753e-05
67,643.83,0.85575,1.17966,1.23486,0.82855,0.41335,0.53097,0.28678,1.77921,2.10319,1.46179,2.7222e-05,2.7222e-05,2.7222e-05
68,653.832,0.89125,1.28062,1.39694,0.82855,0.41335,0.53097,0.28678,1.77921,2.10319,1.46179,2.68451e-05,2.68451e-05,2.68451e-05
69,664.018,0.63256,0.63072,1.02545,0.83343,0.4967,0.52514,0.28657,1.77196,2.10611,1.45864,2.64447e-05,2.64447e-05,2.64447e-05
70,674.062,1.14347,1.12564,1.48287,0.83343,0.4967,0.52514,0.28657,1.77196,2.10611,1.45864,2.60207e-05,2.60207e-05,2.60207e-05
71,684.292,0.76732,0.63979,1.16708,0.83343,0.4967,0.52514,0.28657,1.77196,2.10611,1.45864,2.55731e-05,2.55731e-05,2.55731e-05
72,694.556,0.68045,0.99776,1.10312,0.84594,0.41225,0.53112,0.25916,1.76972,2.13475,1.46294,2.5102e-05,2.5102e-05,2.5102e-05
73,704.644,0.58555,0.6418,0.9568,0.84594,0.41225,0.53112,0.25916,1.76972,2.13475,1.46294,2.46073e-05,2.46073e-05,2.46073e-05
74,714.778,0.75657,0.84367,1.23247,0.84594,0.41225,0.53112,0.25916,1.76972,2.13475,1.46294,2.40891e-05,2.40891e-05,2.40891e-05
75,724.907,0.8352,0.83012,1.36472,0.84243,0.41161,0.52288,0.27246,1.8365,2.1336,1.4942,2.35472e-05,2.35472e-05,2.35472e-05
76,734.788,0.59086,0.68149,1.06567,0.84243,0.41161,0.52288,0.27246,1.8365,2.1336,1.4942,2.29819e-05,2.29819e-05,2.29819e-05
77,744.589,0.81375,1.02353,1.2145,0.84243,0.41161,0.52288,0.27246,1.8365,2.1336,1.4942,2.23929e-05,2.23929e-05,2.23929e-05
78,754.502,0.75289,0.80823,1.14225,0.85674,0.40792,0.425,0.25243,1.88043,2.26251,1.54804,2.17805e-05,2.17805e-05,2.17805e-05
79,764.345,0.75614,0.74829,1.14308,0.85674,0.40792,0.425,0.25243,1.88043,2.26251,1.54804,2.11444e-05,2.11444e-05,2.11444e-05
80,774.261,0.87227,0.70746,1.30095,0.85674,0.40792,0.425,0.25243,1.88043,2.26251,1.54804,2.04848e-05,2.04848e-05,2.04848e-05
81,784.331,0.66197,0.57393,1.17226,0.85864,0.40907,0.46697,0.28306,1.9224,2.31127,1.57932,1.98016e-05,1.98016e-05,1.98016e-05
82,794.136,0.66787,0.65341,1.1767,0.85864,0.40907,0.46697,0.28306,1.9224,2.31127,1.57932,1.90949e-05,1.90949e-05,1.90949e-05
83,803.952,0.60681,0.95934,1.06396,0.85864,0.40907,0.46697,0.28306,1.9224,2.31127,1.57932,1.83646e-05,1.83646e-05,1.83646e-05
